-350,8.558631370619078E-08
-340,3.6786038161317225E-07
-330,3.8957377145217084E-07
-320,4.112871612911694E-07
-310,4.3300055113016796E-07
-300,4.5471394096916655E-07
-290,4.7642733080816513E-07
-280,4.981407206471637E-07
-270,5.198541104861623E-07
-260,5.415675003251609E-07
-250,5.632808901641594E-07
-240,5.84994280003158E-07
-230,6.067076698421566E-07
-220,6.284210596811551E-07
-210,6.501344495201538E-07
-200,6.718478393591523E-07
-190,6.935612291981508E-07
-180,7.152746190371495E-07
-170,7.36988008876148E-07
-160,7.587013987151467E-07
-150,7.804147885541452E-07
-140,8.021281783931437E-07
-130,8.238415682321424E-07
-120,8.455549580711409E-07
-110,8.672683479101394E-07
-100,8.889817377491381E-07
-90,9.106951275881366E-07
-80,9.324085174271353E-07
-70,9.541219072661338E-07
-60,9.758352971051323E-07
-50,9.975486869441309E-07
-40,1.0192620767831296E-06
-30,2.6563322281905395E-06
-20,2.435799837362655E-06
-10,1.4470282148126285E-06
0,0